metric,source,lake,diff,status
users.count,20,20,0,PASS
orders.count,52,52,0,PASS
order_items.count,85,85,0,PASS
orders.amount.total,8433.60,8433.60,0.00,PASS
orders.amount.dt=2026-08-01,170.00,170.00,0.00,PASS
orders.amount.dt=2026-08-02,200.00,200.00,0.00,PASS
orders.amount.dt=2026-08-03,472.50,472.50,0.00,PASS
orders.amount.dt=2026-08-04,412.22,412.22,0.00,PASS
orders.amount.dt=2026-08-05,392.50,392.50,0.00,PASS
orders.amount.dt=2026-08-06,227.50,227.50,0.00,PASS
orders.amount.dt=2026-08-07,352.50,352.50,0.00,PASS
orders.amount.dt=2026-08-08,257.50,257.50,0.00,PASS
orders.amount.dt=2026-08-09,405.00,405.00,0.00,PASS
orders.amount.dt=2026-08-10,80.00,80.00,0.00,PASS
orders.amount.dt=2026-08-11,352.50,352.50,0.00,PASS
orders.amount.dt=2026-08-12,312.50,312.50,0.00,PASS
orders.amount.dt=2026-08-13,262.50,262.50,0.00,PASS
orders.amount.dt=2026-08-14,352.50,352.50,0.00,PASS
orders.amount.dt=2026-08-15,90.00,90.00,0.00,PASS
orders.amount.dt=2026-08-16,405.00,405.00,0.00,PASS
orders.amount.dt=2026-08-17,255.00,255.00,0.00,PASS
orders.amount.dt=2026-08-18,392.50,392.50,0.00,PASS
orders.amount.dt=2026-08-19,405.00,405.00,0.00,PASS
orders.amount.dt=2026-08-20,272.50,272.50,0.00,PASS
orders.amount.dt=2026-08-21,292.50,292.50,0.00,PASS
orders.amount.dt=2026-08-22,427.50,427.50,0.00,PASS
orders.amount.dt=2026-08-23,397.50,397.50,0.00,PASS
orders.amount.dt=2026-08-24,260.00,260.00,0.00,PASS
orders.amount.dt=2026-08-25,182.50,182.50,0.00,PASS
orders.amount.dt=2026-08-26,357.50,357.50,0.00,PASS
orders.amount.dt=2026-08-27,222.50,222.50,0.00,PASS
orders.amount.dt=2026-08-28,80.00,80.00,0.00,PASS
orders.amount.dt=2026-09-01,88.88,88.88,0.00,PASS
orders.amount.dt=2026-09-09,55.00,55.00,0.00,PASS
orders.amount.dt=2026-08-01.channel=NULL,170.00,170.00,0.00,PASS
orders.amount.dt=2026-08-02.channel=NULL,90.00,90.00,0.00,PASS
orders.amount.dt=2026-08-02.channel=app,110.00,110.00,0.00,PASS
orders.amount.dt=2026-08-03.channel=NULL,472.50,472.50,0.00,PASS
orders.amount.dt=2026-08-04.channel=NULL,412.22,412.22,0.00,PASS
orders.amount.dt=2026-08-05.channel=NULL,392.50,392.50,0.00,PASS
orders.amount.dt=2026-08-06.channel=NULL,227.50,227.50,0.00,PASS
orders.amount.dt=2026-08-07.channel=NULL,352.50,352.50,0.00,PASS
orders.amount.dt=2026-08-08.channel=NULL,257.50,257.50,0.00,PASS
orders.amount.dt=2026-08-09.channel=NULL,405.00,405.00,0.00,PASS
orders.amount.dt=2026-08-10.channel=NULL,80.00,80.00,0.00,PASS
orders.amount.dt=2026-08-11.channel=NULL,352.50,352.50,0.00,PASS
orders.amount.dt=2026-08-12.channel=NULL,312.50,312.50,0.00,PASS
orders.amount.dt=2026-08-13.channel=NULL,262.50,262.50,0.00,PASS
orders.amount.dt=2026-08-14.channel=NULL,352.50,352.50,0.00,PASS
orders.amount.dt=2026-08-15.channel=NULL,90.00,90.00,0.00,PASS
orders.amount.dt=2026-08-16.channel=NULL,405.00,405.00,0.00,PASS
orders.amount.dt=2026-08-17.channel=NULL,255.00,255.00,0.00,PASS
orders.amount.dt=2026-08-18.channel=NULL,392.50,392.50,0.00,PASS
orders.amount.dt=2026-08-19.channel=NULL,405.00,405.00,0.00,PASS
orders.amount.dt=2026-08-20.channel=NULL,272.50,272.50,0.00,PASS
orders.amount.dt=2026-08-21.channel=NULL,292.50,292.50,0.00,PASS
orders.amount.dt=2026-08-22.channel=NULL,427.50,427.50,0.00,PASS
orders.amount.dt=2026-08-23.channel=NULL,397.50,397.50,0.00,PASS
orders.amount.dt=2026-08-24.channel=NULL,260.00,260.00,0.00,PASS
orders.amount.dt=2026-08-25.channel=NULL,182.50,182.50,0.00,PASS
orders.amount.dt=2026-08-26.channel=NULL,357.50,357.50,0.00,PASS
orders.amount.dt=2026-08-27.channel=NULL,222.50,222.50,0.00,PASS
orders.amount.dt=2026-08-28.channel=NULL,80.00,80.00,0.00,PASS
orders.amount.dt=2026-09-01.channel=NULL,88.88,88.88,0.00,PASS
orders.amount.dt=2026-09-09.channel=web,55.00,55.00,0.00,PASS
dwd.orders.count_vs_mysql,52,52,0,PASS
dwd.orders.amount.total_vs_mysql,8433.60,8433.60,0.00,PASS
dwd.orders.net_amount.total_vs_mysql,8433.60,8433.60,0.00,PASS
